1	10	0
2	12	10
3	14	22
4	16	36
5	18	52
6	20	70
7	22	90
8	24	112
9	26	136
10	28	162
11	30	190
12	35	220
13	40	255
14	45	295
15	50	340
16	60	390
17	70	450
18	80	520
19	90	600
20	100	690
21	120	790
22	140	910
23	160	1050
24	180	1210
25	200	1390
26	220	1590
27	240	1810
28	260	2050
29	280	2310
30	300	2590
31	320	2890
32	340	3210
33	360	3550
34	380	3910
35	400	4290
36	420	4690
37	440	5110
38	460	5550
39	480	6010
40	500	6490
41	520	6990
42	540	7510
43	560	8050
44	580	8610
45	600	9190
46	620	9790
47	640	10410
48	660	11050
49	680	11710
50	700	12390
51	720	13090
52	740	13810
53	760	14550
54	780	15310
55	800	16090
56	820	16890
57	840	17710
58	860	18550
59	880	19410
60	900	20290
61	920	21190
62	940	22110
63	960	23050
64	980	24010
65	1000	24990
66	1020	25990
67	1040	27010
68	1060	28050
69	1080	29110
70	1100	30190
71	1120	31290
72	1140	32410
73	1160	33550
74	1180	34710
75	1200	35890
76	1220	37090
77	1240	38310
78	1260	39550
79	1280	40810
80	1300	42090
81	1320	43390
82	1340	44710
83	1360	46050
84	1380	47410
85	1400	48790
86	1420	50190
87	1440	51610
88	1460	53050
89	1480	54510
90	1500	55990
91	1520	57490
92	1540	59010
93	1560	60550
94	1580	62110
95	1600	63690
96	1620	65290
97	1640	66910
98	1660	68550
99	1680	70210
100	5200	71890
101	5400	77090
102	5600	82490
103	5800	88090
104	6000	93890
105	6200	99890
106	6400	106090
107	6600	112490
108	6800	119090
109	7000	125890
110	7200	132890
111	7400	140090
112	7600	147490
113	7800	155090
114	8000	162890
115	8200	170890
116	8400	179090
117	8600	187490
118	8800	196090
119	9000	204890
120	9300	213890
121	9600	223190
122	9900	232790
123	10200	242690
124	10600	252890
125	11000	263490
126	11500	274490
127	12000	285990
128	12500	297990
129	13100	310490
130	13700	323590
131	14300	337290
132	14900	351590
133	15600	366490
134	16300	382090
135	17000	398390
136	17700	415390
137	18500	433090
138	19300	451590
139	20100	470890
140	21000	490990
141	22000	511990
142	23000	533990
143	24000	556990
144	25000	580990
145	26000	605990
146	27000	631990
147	28000	658990
148	29000	686990
149	30000	715990
150	0	745990
